time,bat,alt,lat,lon,vx,vy,vz,wnd_dir,wnd_spd,gps,heading,roll,pitch,gps_glitch_x,gps_glitch_y
1563177180.615154,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.616152,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.617152,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.618152,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.619153,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.6201608,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.6211529,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.622153,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.633154,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.639158,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.640152,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.642153,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.643152,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.644152,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.6451519,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.6461499,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.647153,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.658154,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.659153,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.6601539,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.661152,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.6621518,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.663156,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.667152,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.6681519,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.6691558,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.670155,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.671156,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.6721609,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.674154,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.675153,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.6761498,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.682153,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.683152,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.684152,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.686157,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.688156,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.689152,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.696152,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.697152,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.699152,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.701153,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.7021508,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.703155,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.710151,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.712157,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.713156,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.714154,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.716158,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.7171519,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.718152,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.7311509,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.736153,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.742151,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.745157,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.748157,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.755154,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.7591538,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.763151,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.769151,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.7711499,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.778152,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.7801518,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.782152,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.785152,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.786156,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.788151,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.793151,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.794149,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.795152,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.796151,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.7971509,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.798151,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.799151,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.8001518,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.801151,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.808157,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.8091528,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.810153,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.811151,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.812151,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.813154,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.8141508,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.815151,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.821152,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.822157,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.8231518,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.824154,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.825151,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.826154,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.8271508,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.828153,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.829151,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.8341498,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.8351529,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.836156,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.837157,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
